product_name,category_name,price,sub_category_name
"""While you Were Out"" Message Book, One Form per Page",Office Supplies,8.904,Paper
"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,6.608,Envelopes
#10 Self-Seal White Envelopes,Office Supplies,8.872,Envelopes
"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,78.35,Envelopes
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,13.984,Envelopes
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,15.28,Envelopes
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,113.328,Envelopes
#6 3/4 Gummed Flap White Envelopes,Office Supplies,15.84,Envelopes
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,208.16,Appliances
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Office Supplies,5.88,Paper
12 Colored Short Pencils,Office Supplies,6.24,Art
12-1/2 Diameter Round Wall Clock,Furniture,39.96,Furnishings
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,96.08,Paper
2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,99.92,Storage
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,505.32,Storage
24-Hour Round Wall Clock,Furniture,139.86,Furnishings
3-ring staple pack,Office Supplies,5.64,Binders
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,176.772,Appliances
36X48 HARDFLOOR CHAIRMAT,Furniture,33.568,Furnishings
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,9099.93,Machines
"3D Systems Cube Printer, 2nd Generation, White",Technology,1299.99,Machines
3M Hangers With Command Adhesive,Furniture,22.2,Furnishings
3M Office Air Cleaner,Office Supplies,103.92,Appliances
3M Organizer Strips,Office Supplies,12.96,Binders
3M Polarizing Light Filter Sleeves,Furniture,22.38,Furnishings
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,821.88,Furnishings
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,75.84,Appliances
4009 Highlighters,Office Supplies,8.04,Art
4009 Highlighters by Sanford,Office Supplies,19.9,Art
50 Colored Long Pencils,Office Supplies,30.48,Art
"6"" Cubicle Wall Clock, Black",Furniture,58.248,Furnishings
9-3/4 Diameter Round Wall Clock,Furniture,124.11,Furnishings
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,9.912,Binders
ACCOHIDE Binder by Acco,Office Supplies,16.52,Binders
APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,241.44,Appliances
ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,40.68,Phones
AT&T 1070 Corded Phone,Technology,445.96,Phones
AT&T 1080 Corded phone,Technology,438.368,Phones
AT&T 1080 Phone,Technology,821.94,Phones
AT&T 17929 Lendline Telephone,Technology,180.96,Phones
AT&T 841000 Phone,Technology,124.2,Phones
AT&T CL2909,Technology,302.376,Phones
AT&T CL82213,Technology,144.95,Phones
AT&T CL83451 4-Handset Telephone,Technology,329.584,Phones
AT&T EL51110 DECT,Technology,377.97,Phones
AT&T SB67148 SynJ,Technology,105.584,Phones
AT&T TR1909W,Technology,302.376,Phones
Aastra 57i VoIP phone,Technology,161.61,Phones
Aastra 6757i CT Wireless VoIP phone,Technology,344.704,Phones
Acco 3-Hole Punch,Office Supplies,0.876,Binders
Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,33.28,Appliances
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,73.28,Appliances
Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,65.52,Appliances
Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,36.27,Appliances
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,48.632,Appliances
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,6.912,Fasteners
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Office Supplies,5.68,Fasteners
Acco D-Ring Binder w/DublLock,Office Supplies,29.932,Binders
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Office Supplies,20.86,Binders
Acco Economy Flexible Poly Round Ring Binder,Office Supplies,1.044,Binders
Acco Expandable Hanging Binders,Office Supplies,12.76,Binders
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,52.064,Binders
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,10.43,Binders
Acco Glide Clips,Office Supplies,19.6,Fasteners
Acco Hanging Data Binders,Office Supplies,3.81,Binders
Acco Hot Clips Clips to Go,Office Supplies,13.16,Fasteners
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,16.14,Binders
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Office Supplies,6.456,Binders
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",Office Supplies,8.608,Binders
Acco Perma 2700 Stacking Storage Drawers,Office Supplies,59.48,Storage
Acco Perma 3000 Stacking Storage Drawers,Office Supplies,62.94,Storage
Acco Perma 4000 Stacking Storage Drawers,Office Supplies,64.96,Storage
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Office Supplies,6.096,Binders
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,6.858,Binders
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Office Supplies,5.892,Binders
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,19.05,Binders
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",Office Supplies,2.89,Binders
Acco Side-Punched Conventional Columnar Pads,Office Supplies,5.552,Supplies
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,41.376,Appliances
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Office Supplies,211.248,Appliances
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,167.535,Appliances
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,2.502,Binders
Acco Translucent Poly Ring Binders,Office Supplies,2.808,Binders
Accohide Poly Flexible Ring Binders,Office Supplies,2.992,Binders
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,35.06,Supplies
Acme Box Cutter Scissors,Office Supplies,102.3,Supplies
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Office Supplies,27.36,Supplies
Acme Design Stainless Steel Bent Scissors,Office Supplies,41.04,Supplies
Acme Elite Stainless Steel Scissors,Office Supplies,33.36,Supplies
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,18.62,Supplies
Acme Galleria Hot Forged Steel Scissors with Colored Handles,Office Supplies,47.19,Supplies
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,88.96,Supplies
Acme Kleen Earth Office Shears,Office Supplies,3.104,Supplies
Acme Kleencut Forged Steel Scissors,Office Supplies,9.184,Supplies
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,17.14,Supplies
Acme Preferred Stainless Steel Scissors,Office Supplies,22.72,Supplies
Acme Rosewood Handle Letter Opener,Office Supplies,11.91,Supplies
Acme Serrated Blade Letter Opener,Office Supplies,7.632,Supplies
Acme Softgrip Scissors,Office Supplies,40.7,Supplies
Acme Stainless Steel Office Snips,Office Supplies,40.712,Supplies
Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,31.68,Supplies
Acme Titanium Bonded Scissors,Office Supplies,6.8,Supplies
Acme Value Line Scissors,Office Supplies,7.3,Supplies
Acrylic Self-Standing Desk Frames,Furniture,4.272,Furnishings
"Adams ""While You Were Out"" Message Pads",Office Supplies,9.42,Paper
"Adams Phone Message Book, 200 Message Capacity, 8 1/16ï¿½ï¿½ï¿½ x",Office Supplies,41.28,Binders
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6ï¿½ï¿½ï¿½ x",Office Supplies,20.94,Binders
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,22.72,Paper
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,9.408,Paper
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,47.88,Paper
"Adams Telephone Message Books, 5 1/4ï¿½ï¿½ï¿½ x",Office Supplies,4.832,Binders
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,11.36,Paper
Adjustable Depth Letter/Legal Cart,Office Supplies,362.92,Storage
Adjustable Personal File Tote,Office Supplies,52.096,Storage
Adtran 1202752G1,Technology,302.376,Phones
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,418.32,Storage
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,185.58,Furnishings
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,11.85,Fasteners
Advantus Motivational Note Cards,Office Supplies,26.2,Paper
Advantus Panel Wall Acrylic Frame,Furniture,5.47,Furnishings
Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,19.52,Furnishings
