product_name,quantity,sale_date,revenue
"""While you Were Out"" Message Book, One Form per Page",1,2018-09-03,8.904
"""While you Were Out"" Message Book, One Form per Page",1,2018-10-30,7.42
"""While you Were Out"" Message Book, One Form per Page",1,2018-11-13,8.904
"#10 Gummed Flap White Envelopes, 100/Box",1,2016-11-03,6.608
"#10 Gummed Flap White Envelopes, 100/Box",1,2017-01-15,16.52
"#10 Gummed Flap White Envelopes, 100/Box",1,2017-04-08,8.26
"#10 Gummed Flap White Envelopes, 100/Box",1,2018-10-31,9.912
#10 Self-Seal White Envelopes,1,2017-04-08,8.872
#10 Self-Seal White Envelopes,1,2017-09-11,11.09
#10 Self-Seal White Envelopes,1,2017-10-15,66.54
#10 Self-Seal White Envelopes,1,2018-09-11,22.18
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2015-09-21,78.35
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2015-11-16,78.35
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2016-09-28,12.536
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2017-01-31,125.36
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2018-03-24,47.01
"#10 White Business Envelopes,4 1/8 x 9 1/2",1,2018-06-22,37.608
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2015-06-06,13.984
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2015-07-28,48.944
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-01-05,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-09-25,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-11-09,26.22
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-11-30,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2016-12-18,55.936
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-09-09,17.48
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-09-29,27.968
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1,2018-12-14,43.7
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2015-10-10,15.28
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2015-10-11,7.64
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2017-12-01,22.92
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-01-14,18.336
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-04-30,30.56
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-09-03,24.448
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-11-06,15.28
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1,2018-11-12,12.224
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1,2016-12-27,113.328
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",1,2018-04-30,62.96
#6 3/4 Gummed Flap White Envelopes,1,2016-09-24,15.84
#6 3/4 Gummed Flap White Envelopes,1,2016-12-20,7.92
#6 3/4 Gummed Flap White Envelopes,1,2018-10-22,31.68
#6 3/4 Gummed Flap White Envelopes,1,2018-10-27,15.84
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2015-05-23,208.16
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2015-11-15,333.056
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2017-06-12,208.16
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,2018-07-20,416.32
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",1,2015-11-19,5.88
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",1,2016-11-23,44.1
12 Colored Short Pencils,1,2015-04-25,6.24
12 Colored Short Pencils,1,2017-07-22,4.16
12 Colored Short Pencils,1,2018-11-10,7.8
12-1/2 Diameter Round Wall Clock,1,2015-12-02,39.96
12-1/2 Diameter Round Wall Clock,1,2015-12-06,23.976
12-1/2 Diameter Round Wall Clock,1,2016-11-15,39.96
12-1/2 Diameter Round Wall Clock,1,2016-12-07,79.92
12-1/2 Diameter Round Wall Clock,1,2017-04-30,111.888
12-1/2 Diameter Round Wall Clock,1,2018-01-19,31.968
12-1/2 Diameter Round Wall Clock,1,2018-06-09,23.976
12-1/2 Diameter Round Wall Clock,1,2018-09-24,199.8
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2017-09-05,96.08
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-02-03,115.296
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-08-06,115.296
14-7/8 x 11 Blue Bar Computer Printout Paper,1,2018-12-25,96.08
2300 Heavy-Duty Transfer File Systems by Perma,1,2015-04-29,99.92
2300 Heavy-Duty Transfer File Systems by Perma,1,2016-09-26,119.904
2300 Heavy-Duty Transfer File Systems by Perma,1,2016-12-30,74.94
2300 Heavy-Duty Transfer File Systems by Perma,1,2018-10-17,49.96
"24 Capacity Maxi Data Binder Racks, Pearl",1,2018-09-04,421.1
24-Hour Round Wall Clock,1,2015-05-20,139.86
24-Hour Round Wall Clock,1,2016-07-02,159.84
24-Hour Round Wall Clock,1,2017-01-10,79.92
24-Hour Round Wall Clock,1,2017-10-28,47.952
24-Hour Round Wall Clock,1,2018-05-15,39.96
24-Hour Round Wall Clock,1,2018-10-04,19.98
3-ring staple pack,1,2015-01-13,5.64
3-ring staple pack,1,2016-06-07,7.52
3-ring staple pack,1,2016-08-13,5.64
3-ring staple pack,1,2016-12-14,3.76
3-ring staple pack,1,2017-09-23,10.528
3-ring staple pack,1,2018-12-02,9.024
3.6 Cubic Foot Counter Height Office Refrigerator,1,2015-03-03,176.772
3.6 Cubic Foot Counter Height Office Refrigerator,1,2017-08-13,58.924
3.6 Cubic Foot Counter Height Office Refrigerator,1,2018-12-02,294.62
36X48 HARDFLOOR CHAIRMAT,1,2016-03-05,33.568
36X48 HARDFLOOR CHAIRMAT,1,2017-05-27,25.176
36X48 HARDFLOOR CHAIRMAT,1,2017-05-30,167.84
36X48 HARDFLOOR CHAIRMAT,1,2018-07-08,83.92
36X48 HARDFLOOR CHAIRMAT,1,2018-08-17,16.784
36X48 HARDFLOOR CHAIRMAT,1,2018-10-06,41.96
3M Hangers With Command Adhesive,1,2015-06-01,22.2
3M Hangers With Command Adhesive,1,2016-05-31,22.2
3M Hangers With Command Adhesive,1,2016-12-03,2.96
3M Hangers With Command Adhesive,1,2017-12-11,14.8
3M Hangers With Command Adhesive,1,2017-12-22,11.84
3M Hangers With Command Adhesive,1,2018-04-30,23.68
3M Hangers With Command Adhesive,1,2018-12-28,7.4
3M Hangers With Command Adhesive,1,2018-12-28,2.96
3M Office Air Cleaner,1,2016-12-15,103.92
3M Office Air Cleaner,1,2018-07-31,155.88
3M Organizer Strips,1,2015-11-20,12.96
3M Organizer Strips,1,2016-07-11,6.48
3M Organizer Strips,1,2018-03-07,25.92
3M Organizer Strips,1,2018-04-06,8.1
3M Organizer Strips,1,2018-09-09,4.86
3M Organizer Strips,1,2018-09-10,16.2
3M Organizer Strips,1,2018-11-14,8.64
3M Polarizing Light Filter Sleeves,1,2016-03-31,22.38
3M Polarizing Light Filter Sleeves,1,2017-05-29,44.76
3M Polarizing Light Filter Sleeves,1,2017-11-10,37.3
3M Polarizing Light Filter Sleeves,1,2017-12-03,111.9
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2017-11-05,273.96
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1,2018-04-08,273.96
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-04-13,75.84
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-09-26,60.672
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2016-12-10,53.088
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,2017-04-10,113.76
4009 Highlighters,1,2017-01-23,8.04
4009 Highlighters by Sanford,1,2015-01-13,19.9
4009 Highlighters by Sanford,1,2015-05-21,31.84
4009 Highlighters by Sanford,1,2016-10-12,19.9
4009 Highlighters by Sanford,1,2017-05-09,27.86
4009 Highlighters by Sanford,1,2017-11-18,6.368
4009 Highlighters by Sanford,1,2018-06-24,35.82
4009 Highlighters by Sanford,1,2018-07-03,9.552
4009 Highlighters by Sanford,1,2018-10-30,19.9
50 Colored Long Pencils,1,2015-11-11,30.48
50 Colored Long Pencils,1,2016-03-02,10.16
50 Colored Long Pencils,1,2016-08-13,50.8
50 Colored Long Pencils,1,2017-04-01,30.48
50 Colored Long Pencils,1,2018-04-07,16.256
"6"" Cubicle Wall Clock, Black",1,2017-09-05,58.248
"6"" Cubicle Wall Clock, Black",1,2018-09-11,32.36
"6"" Cubicle Wall Clock, Black",1,2018-12-09,9.708
9-3/4 Diameter Round Wall Clock,1,2015-07-11,124.11
9-3/4 Diameter Round Wall Clock,1,2015-08-01,44.128
9-3/4 Diameter Round Wall Clock,1,2016-10-02,11.032
